Title,Director,Stars,IMDb-Rating,Category,Duration,Censor-board-rating,Fecha_estreno,Contiene Sexo,Recaudación(en millones de dólares)
About Time,RichardCurtis,"DomhnallGleeson, RachelMcAdams, BillNighy, LydiaWilson",7.8,"Comedy,Drama,Fantasy",123min,UA,28/07/1903,TRUE,"258,331"
Blue Velvet,DavidLynch,"IsabellaRossellini, KyleMacLachlan, DennisHopper, LauraDern",7.7,"Crime,Drama,Mystery",120min,A,01/01/1929,FALSE,"207,669"
Little Women,GretaGerwig,"SaoirseRonan, EmmaWatson, FlorencePugh, ElizaScanlen",7.8,"Drama,Romance",135min,U,22/02/2012,FALSE,"87,327"
The Curious Case of Benjamin Button,DavidFincher,"BradPitt, CateBlanchett, TildaSwinton, JuliaOrmond",7.8,"Drama,Fantasy,Romance",166min,UA,07/12/1977,FALSE,"212,085"
La vie dAdèle,AbdellatifKechiche,"LéaSeydoux, AdèleExarchopoulos, SalimKechiouche, AurélienRecoing",7.7,"Drama,Romance",180min,A,04/03/2016,FALSE,"80,803"
Eternal Sunshine of the Spotless Mind,MichelGondry,"JimCarrey, KateWinslet, TomWilkinson, GerryRobertByrne",8.3,"Drama,Romance,Sci-Fi",108min,UA,09/07/1907,TRUE,"23,901"
Casino,MartinScorsese,"RobertDeNiro, SharonStone, JoePesci, JamesWoods",8.2,"Crime,Drama",178min,A,22/08/1957,TRUE,"61,361"
Office Space,MikeJudge,"RonLivingston, JenniferAniston, DavidHerman, AjayNaidu",7.7,Comedy,89min,R,02/10/1921,FALSE,"213,707"
Platoon,OliverStone,"CharlieSheen, TomBerenger, WillemDafoe, KeithDavid",8.1,"Drama,War",120min,UA,09/02/2017,FALSE,"143,157"
Hidden Figures,TheodoreMelfi,"TarajiP.Henson, OctaviaSpencer, JanelleMonáe, KevinCostner",7.8,"Biography,Drama,History",127min,UA,21/08/1978,TRUE,"286,022"
The Big Lebowski,"JoelCoen,",", JeffBridges, JohnGoodman, JulianneMoore, SteveBuscemi",8.1,"Comedy,Crime",117min,UA,08/10/2008,TRUE,"275,999"
The Hangover,ToddPhillips,"ZachGalifianakis, BradleyCooper, JustinBartha, EdHelms",7.7,Comedy,100min,UA,28/07/1938,FALSE,"206,675"
Hamilton,ThomasKail,"Lin-ManuelMiranda, PhillipaSoo, LeslieOdomJr., RenéeEliseGoldsberry",8.4,"Biography,Drama,History",160min,S,11/09/1946,TRUE,"162,092"
Terminator 2: Judgment Day,JamesCameron,"ArnoldSchwarzenegger, LindaHamilton, EdwardFurlong, RobertPatrick",8.6,"Action,Sci-Fi",137min,A,18/10/2015,FALSE,"16,545"
Skyfall,SamMendes,"DanielCraig, JavierBardem, NaomieHarris, JudiDench",7.8,"Action,Adventure,Thriller",143min,UA,10/02/2000,FALSE,"66,191"
Whats Eating Gilbert Grape,LasseHallström,"JohnnyDepp, LeonardoDiCaprio, JulietteLewis, MarySteenburgen",7.7,Drama,118min,U,02/11/1969,TRUE,"34,025"
One Flew Over the Cuckoos Nest,MilosForman,"JackNicholson, LouiseFletcher, MichaelBerryman, PeterBrocco",8.7,Drama,133min,A,20/11/2017,TRUE,"6,105"
The Revenant,AlejandroG.Iñárritu,"LeonardoDiCaprio, TomHardy, WillPoulter, DomhnallGleeson",8,"Action,Adventure,Drama",156min,A,30/09/1975,TRUE,"65,869"
Wind River,TaylorSheridan,"ElizabethOlsen, JeremyRenner, GrahamGreene, KelseyAsbille",7.7,"Crime,Drama,Mystery",107min,R,20/11/1960,TRUE,"271,424"
Sicario,DenisVilleneuve,"EmilyBlunt, JoshBrolin, BenicioDelToro, JonBernthal",7.6,"Action,Crime,Drama",121min,A,30/04/1990,FALSE,"21,307"
The Imitation Game,MortenTyldum,"BenedictCumberbatch, KeiraKnightley, MatthewGoode, AllenLeech",8,"Biography,Drama,Thriller",114min,UA,14/11/1970,TRUE,"105,195"
Trainspotting,DannyBoyle,"EwanMcGregor, EwenBremner, JonnyLeeMiller, KevinMcKidd",8.1,Drama,93min,A,19/07/1907,TRUE,"256,375"
The Last Samurai,EdwardZwick,"TomCruise, KenWatanabe, BillyConnolly, WilliamAtherton",7.8,"Action,Drama",154min,UA,09/02/1959,TRUE,"157,118"
Love Actually,RichardCurtis,"HughGrant, MartineMcCutcheon, LiamNeeson, LauraLinney",7.6,"Comedy,Drama,Romance",135min,A,29/03/1970,TRUE,"184,497"
Catch Me If You Can,StevenSpielberg,"LeonardoDiCaprio, TomHanks, ChristopherWalken, MartinSheen",8.1,"Biography,Crime,Drama",141min,A,04/12/1922,FALSE,"14,841"
Boogie Nights,PaulThomasAnderson,"MarkWahlberg, JulianneMoore, BurtReynolds, LuisGuzmán",7.9,Drama,155min,S,25/02/1914,TRUE,"179,787"
Moana,"RonClements,","DonHall, ChrisWilliams, , ""AuliiCravalho,"", DwayneJohnson, RachelHouse, TemueraMorrison",7.6,"Animation,Adventure,Comedy",107min,U,18/10/1921,FALSE,"245,81"
Donnie Darko,RichardKelly,"JakeGyllenhaal, JenaMalone, MaryMcDonnell, HolmesOsborne",8,"Drama,Mystery,Sci-Fi",113min,UA,17/10/1954,FALSE,"57,49"
The Exorcist,WilliamFriedkin,"EllenBurstyn, MaxvonSydow, LindaBlair, LeeJ.Cobb",8.1,Horror,122min,A,22/04/1957,TRUE,"17,904"
Ah-ga-ssi,ParkChan-wook,"KimMin-hee, HaJung-woo, ChoJin-woong, MoonSo-ri",8.1,"Drama,Romance,Thriller",145min,A,17/11/1966,FALSE,"244,694"
Sabrina,BillyWilder,"HumphreyBogart, AudreyHepburn, WilliamHolden, WalterHampden",7.6,"Comedy,Drama,Romance",113min,NA,28/10/1940,TRUE,"28,415"
Hauru no ugoku shiro,HayaoMiyazaki,"ChiekoBaishô, TakuyaKimura, TatsuyaGashûin, AkihiroMiwa",8.2,"Animation,Adventure,Family",119min,U,21/08/1915,FALSE,"68,758"
Ratatouille,"BradBird,",", BradGarrett, LouRomano, PattonOswalt, IanHolm",8.1,"Animation,Adventure,Comedy",111min,U,07/01/1986,TRUE,"230,812"
The Notebook,NickCassavetes,"GenaRowlands, JamesGarner, RachelMcAdams, RyanGosling",7.8,"Drama,Romance",123min,A,08/11/1909,FALSE,"20,505"
Memento,ChristopherNolan,"GuyPearce, Carrie-AnneMoss, JoePantoliano, MarkBooneJunior",8.4,"Mystery,Thriller",113min,UA,01/08/1954,FALSE,"47,096"
"Il buono, il brutto, il cattivo",SergioLeone,"ClintEastwood, EliWallach, LeeVanCleef, AldoGiuffrè",8.8,"Adventure,Western",161min,A,12/07/1983,TRUE,"289,943"
Zootopia,"ByronHoward,","JaredBush, , GinniferGoodwin, JasonBateman, IdrisElba, JennySlate",8,"Animation,Adventure,Comedy",108min,U,28/08/1926,TRUE,"168,541"
The Help,TateTaylor,"EmmaStone, ViolaDavis, OctaviaSpencer, BryceDallasHoward",8.1,Drama,146min,UA,23/06/2003,FALSE,"261,525"
The Fighter,DavidO.Russell,"MarkWahlberg, ChristianBale, AmyAdams, MelissaLeo",7.8,"Action,Biography,Drama",116min,UA,18/06/1946,TRUE,"184,315"
Braveheart,MelGibson,"MelGibson, SophieMarceau, PatrickMcGoohan, AngusMacfadyen",8.4,"Biography,Drama,History",178min,A,16/11/1913,FALSE,"263,73"
The Father,FlorianZeller,"AnthonyHopkins, OliviaColman, MarkGatiss, OliviaWilliams",8.2,"Drama,Mystery",97min,UA,10/03/1936,FALSE,"128,724"
Kill Bill: Vol. 1,QuentinTarantino,"UmaThurman, DavidCarradine, DarylHannah, MichaelMadsen",8.2,"Action,Crime,Drama",111min,A,24/07/1999,TRUE,"168,661"
The Big Short,AdamMcKay,"ChristianBale, SteveCarell, RyanGosling, BradPitt",7.8,"Biography,Comedy,Drama",130min,A,11/06/2000,TRUE,"6,868"
Captain America: Civil War,"AnthonyRusso,",", ChrisEvans, RobertDowneyJr., ScarlettJohansson, SebastianStan",7.8,"Action,Adventure,Sci-Fi",147min,UA,30/01/1907,TRUE,"212,91"
Harry Potter and the Prisoner of Azkaban,AlfonsoCuarón,"DanielRadcliffe, EmmaWatson, RupertGrint, RichardGriffiths",7.9,"Adventure,Family,Fantasy",142min,U,27/04/2013,FALSE,"15,94"
Ferris Buellers Day Off,JohnHughes,"MatthewBroderick, AlanRuck, MiaSara, JeffreyJones",7.8,Comedy,103min,U,12/01/1927,FALSE,"137,563"
The Lord of the Rings: The Two Towers,PeterJackson,"ElijahWood, IanMcKellen, ViggoMortensen, OrlandoBloom",8.8,"Action,Adventure,Drama",179min,UA,08/08/1919,FALSE,"21,413"
The Fly,DavidCronenberg,"JeffGoldblum, GeenaDavis, JohnGetz, JoyBoushel",7.6,"Drama,Horror,Sci-Fi",96min,A,13/08/1952,FALSE,"1,853"
Arrival,DenisVilleneuve,"AmyAdams, JeremyRenner, ForestWhitaker, MichaelStuhlbarg",7.9,"Drama,Mystery,Sci-Fi",116min,UA,13/11/1964,TRUE,"182,624"
Minority Report,StevenSpielberg,"TomCruise, ColinFarrell, SamanthaMorton, MaxvonSydow",7.7,"Action,Crime,Mystery",145min,A,03/09/1934,TRUE,"103,246"
The Perks of Being a Wallflower,StephenChbosky,"LoganLerman, EmmaWatson, EzraMiller, PaulRudd",8,"Drama,Romance",103min,UA,11/12/1934,TRUE,"47,327"
Cidade de Deus,"FernandoMeirelles,",", AlexandreRodrigues, LeandroFirmino, MatheusNachtergaele, PhellipeHaagensen",8.6,"Crime,Drama",130min,A,02/05/1933,FALSE,"45,488"
True Romance,TonyScott,"ChristianSlater, PatriciaArquette, DennisHopper, ValKilmer",7.9,"Crime,Drama,Romance",119min,A,26/11/1960,TRUE,"10,797"
Nightcrawler,DanGilroy,"JakeGyllenhaal, ReneRusso, BillPaxton, RizAhmed",7.8,"Crime,Drama,Thriller",117min,A,16/03/1929,TRUE,"203,253"
The Social Network,DavidFincher,"JesseEisenberg, AndrewGarfield, JustinTimberlake, RooneyMara",7.8,"Biography,Drama",120min,UA,18/10/1918,FALSE,"218,626"
Logan,JamesMangold,"HughJackman, PatrickStewart, DafneKeen, BoydHolbrook",8.1,"Action,Drama,Sci-Fi",137min,A,15/08/1951,TRUE,"147,697"
Snatch,GuyRitchie,"JasonStatham, BradPitt, StephenGraham, VinnieJones",8.3,"Comedy,Crime",104min,UA,10/12/1904,FALSE,"239,154"
Mulholland Dr.,DavidLynch,"NaomiWatts, LauraHarring, JustinTheroux, JeanneBates",7.9,"Drama,Mystery,Thriller",147min,UA,10/08/2002,TRUE,"100,767"
American History X,TonyKaye,"EdwardNorton, EdwardFurlong, ""BeverlyDAngelo,"", JenniferLien",8.5,"Crime,Drama",119min,R,16/02/1905,FALSE,"75,316"
Green Book,PeterFarrelly,"ViggoMortensen, MahershalaAli, LindaCardellini, SebastianManiscalco",8.2,"Biography,Comedy,Drama",130min,UA,24/03/1959,TRUE,"199,421"
Willy Wonka & the Chocolate Factory,MelStuart,"GeneWilder, JackAlbertson, PeterOstrum, RoyKinnear",7.8,"Family,Fantasy,Musical",100min,U,03/07/1941,FALSE,"56,504"
"O Brother, Where Art Thou?","JoelCoen,",", GeorgeClooney, JohnTurturro, TimBlakeNelson, JohnGoodman",7.7,"Adventure,Comedy,Crime",107min,U,23/06/1929,FALSE,"80,038"
When Harry Met Sally...,RobReiner,"BillyCrystal, MegRyan, CarrieFisher, BrunoKirby",7.7,"Comedy,Drama,Romance",95min,UA,27/04/2009,TRUE,"10,932"
Donnie Brasco,MikeNewell,"AlPacino, JohnnyDepp, MichaelMadsen, BrunoKirby",7.7,"Biography,Crime,Drama",127min,A,08/09/1953,TRUE,"2,772"
Rain Man,BarryLevinson,"DustinHoffman, TomCruise, ValeriaGolino, GeraldR.Molen",8,Drama,133min,U,29/10/1916,FALSE,"87,201"
Jagten,ThomasVinterberg,"MadsMikkelsen, ThomasBoLarsen, AnnikaWedderkopp, LasseFogelstrøm",8.3,Drama,115min,S,17/08/1984,FALSE,"83,488"
Reservoir Dogs,QuentinTarantino,"HarveyKeitel, TimRoth, MichaelMadsen, ChrisPenn",8.3,"Crime,Drama,Thriller",99min,A,05/07/2019,FALSE,"24,66"
What We Do in the Shadows,"JemaineClement,",", JemaineClement, TaikaWaititi, CoriGonzalez-Macuer, JonnyBrugh",7.6,"Comedy,Horror",86min,R,16/04/1938,FALSE,"189,917"
Almost Famous,CameronCrowe,"BillyCrudup, PatrickFugit, KateHudson, FrancesMcDormand",7.9,"Adventure,Comedy,Drama",122min,A,14/01/1911,FALSE,"25,444"
The Martian,RidleyScott,"MattDamon, JessicaChastain, KristenWiig, KateMara",8,"Adventure,Drama,Sci-Fi",144min,UA,05/02/1996,TRUE,"163,334"
Black Hawk Down,RidleyScott,"JoshHartnett, EwanMcGregor, TomSizemore, EricBana",7.7,"Action,Drama,History",144min,A,29/11/1920,FALSE,"108,122"
Die Hard,JohnMcTiernan,"BruceWillis, AlanRickman, BonnieBedelia, ReginaldVelJohnson",8.2,"Action,Thriller",132min,A,16/05/1955,FALSE,"5,79"
The Hateful Eight,QuentinTarantino,"SamuelL.Jackson, KurtRussell, JenniferJasonLeigh, WaltonGoggins",7.8,"Crime,Drama,Mystery",168min,A,21/12/1934,FALSE,"105,429"
Fargo,"JoelCoen,",", WilliamH.Macy, FrancesMcDormand, SteveBuscemi, PeterStormare",8.1,"Crime,Thriller",98min,A,01/09/1900,FALSE,"264,483"
Captain Fantastic,MattRoss,"ViggoMortensen, GeorgeMacKay, SamanthaIsler, AnnaliseBasso",7.8,"Comedy,Drama",118min,S,01/05/1945,FALSE,"237,988"
Bound by Honor,TaylorHackford,"DamianChapa, JesseBorrego, BenjaminBratt, EnriqueCastillo",7.9,"Crime,Drama",180min,R,30/05/1986,FALSE,"228,022"
The Thing,JohnCarpenter,"KurtRussell, WilfordBrimley, KeithDavid, RichardMasur",8.2,"Horror,Mystery,Sci-Fi",109min,A,05/10/2006,FALSE,"189,961"
Into the Wild,SeanPenn,"EmileHirsch, VinceVaughn, CatherineKeener, MarciaGayHarden",8.1,"Adventure,Biography,Drama",148min,U,06/04/2016,FALSE,"171,095"
Cast Away,RobertZemeckis,"TomHanks, HelenHunt, PaulSanchez, LariWhite",7.8,"Adventure,Drama,Romance",143min,UA,27/10/1948,FALSE,"148,681"
The Game,DavidFincher,"MichaelDouglas, DeborahKaraUnger, SeanPenn, JamesRebhorn",7.7,"Drama,Mystery,Thriller",129min,UA,01/10/1955,TRUE,"119,155"
Magnolia,PaulThomasAnderson,"TomCruise, JasonRobards, JulianneMoore, PhilipSeymourHoffman",8,Drama,188min,A,01/08/1972,TRUE,"224,79"
The Blind Side,JohnLeeHancock,"QuintonAaron, SandraBullock, TimMcGraw, JaeHead",7.6,"Biography,Drama,Sport",129min,UA,05/05/1990,FALSE,"142,22"
En man som heter Ove,HannesHolm,"RolfLassgård, BaharPars, FilipBerg, IdaEngvoll",7.7,"Comedy,Drama,Romance",116min,A,23/03/1979,FALSE,"70,869"
The Hobbit: An Unexpected Journey,PeterJackson,"MartinFreeman, IanMcKellen, RichardArmitage, AndySerkis",7.8,"Adventure,Fantasy",169min,UA,20/06/1929,FALSE,"120,052"
Y tu mamá también,AlfonsoCuarón,"MaribelVerdú, GaelGarcíaBernal, DanielGiménezCacho, AnaLópezMercado",7.7,Drama,106min,A,24/11/2007,FALSE,"215,902"
2001: A Space Odyssey,StanleyKubrick,"KeirDullea, GaryLockwood, WilliamSylvester, DanielRichter",8.3,"Adventure,Sci-Fi",149min,U,19/07/1978,TRUE,"291,283"
The Incredibles,BradBird,"CraigT.Nelson, SamuelL.Jackson, HollyHunter, JasonLee",8,"Animation,Action,Adventure",115min,U,08/03/2009,FALSE,"206,196"
Brokeback Mountain,AngLee,"JakeGyllenhaal, HeathLedger, MichelleWilliams, RandyQuaid",7.7,"Drama,Romance",134min,A,14/10/1972,TRUE,"249,975"
The Intouchables,"OlivierNakache,",", FrançoisCluzet, OmarSy, AnneLeNy, AudreyFleurot",8.5,"Biography,Comedy,Drama",112min,UA,23/01/2016,TRUE,"64,641"
La vita è bella,RobertoBenigni,"RobertoBenigni, NicolettaBraschi, GiorgioCantarini, GiustinoDurano",8.6,"Comedy,Drama,Romance",116min,U,29/06/1957,FALSE,"186,066"
La La Land,DamienChazelle,"RyanGosling, EmmaStone, RosemarieDeWitt, J.K.Simmons",8,"Comedy,Drama,Music",128min,A,04/05/1949,FALSE,"132,459"
Taken,PierreMorel,"LiamNeeson, MaggieGrace, FamkeJanssen, LelandOrser",7.8,"Action,Crime,Thriller",90min,A,20/10/2007,FALSE,"30,749"
Back to the Future Part II,RobertZemeckis,"MichaelJ.Fox, ChristopherLloyd, LeaThompson, TomWilson",7.8,"Adventure,Comedy,Sci-Fi",108min,U,27/12/2016,TRUE,"136,33"
Apocalypto,MelGibson,"GerardoTaracena, RaoulMaxTrujillo, DaliaHernández, RudyYoungblood",7.8,"Action,Adventure,Drama",139min,A,07/04/1970,FALSE,"225,375"
The Girl with the Dragon Tattoo,DavidFincher,"DanielCraig, RooneyMara, ChristopherPlummer, StellanSkarsgård",7.8,"Crime,Drama,Mystery",158min,A,20/11/2018,TRUE,"298,703"
Toy Story 4,JoshCooley,"TomHanks, TimAllen, AnniePotts, TonyHale",7.7,"Animation,Adventure,Comedy",100min,U,02/09/1960,TRUE,"75,812"
Mystic River,ClintEastwood,"SeanPenn, TimRobbins, KevinBacon, EmmyRossum",7.9,"Crime,Drama,Mystery",138min,A,14/03/1916,TRUE,"15,311"
Finding Nemo,"AndrewStanton,",", AlbertBrooks, EllenDeGeneres, AlexanderGould, WillemDafoe",8.2,"Animation,Adventure,Comedy",100min,U,01/03/1984,TRUE,"116,64"
Psycho,AlfredHitchcock,"AnthonyPerkins, JanetLeigh, VeraMiles, JohnGavin",8.5,"Horror,Mystery,Thriller",109min,A,28/08/1981,FALSE,"82,804"
Rush,RonHoward,"DanielBrühl, ChrisHemsworth, OliviaWilde, AlexandraMariaLara",8.1,"Action,Biography,Drama",123min,R,26/11/1979,FALSE,"76,292"
The Pianist,RomanPolanski,"AdrienBrody, ThomasKretschmann, FrankFinlay, EmiliaFox",8.5,"Biography,Drama,Music",150min,R,28/10/1907,TRUE,"140,529"
Room,LennyAbrahamson,"BrieLarson, JacobTremblay, SeanBridgers, WendyCrewson",8.1,"Drama,Thriller",118min,U,18/06/2001,FALSE,"202,525"
A Star Is Born,BradleyCooper,"LadyGaga, BradleyCooper, SamElliott, GregGrunberg",7.6,"Drama,Music,Romance",136min,A,28/12/1994,FALSE,"215,983"
The Untouchables,BrianDePalma,"KevinCostner, SeanConnery, RobertDeNiro, CharlesMartinSmith",7.9,"Crime,Drama,Thriller",119min,A,07/11/1910,TRUE,"39,757"
Idi i smotri,ElemKlimov,"AlekseyKravchenko, OlgaMironova, LiubomirasLaucevicius, VladasBagdonas",8.4,"Drama,Thriller,War",142min,A,17/07/1938,FALSE,"63,99"
Pride,MatthewWarchus,"BillNighy, ImeldaStaunton, DominicWest, PaddyConsidine",7.8,"Biography,Comedy,Drama",119min,R,18/01/1974,FALSE,"238,106"
The Mitchells vs the Machines,"MichaelRianda,",", AbbiJacobson, DannyMcBride, MayaRudolph, MichaelRianda",7.6,"Animation,Adventure,Comedy",114min,R,09/02/1987,TRUE,"111,51"
The Butterfly Effect,"EricBress,",", AshtonKutcher, AmySmart, MeloraWalters, EldenHenson",7.6,"Drama,Sci-Fi,Thriller",113min,UA,06/11/1909,TRUE,"83,832"
Midnight in Paris,WoodyAllen,"OwenWilson, RachelMcAdams, KathyBates, KurtFuller",7.7,"Comedy,Fantasy,Romance",94min,A,07/09/2009,TRUE,"241,527"
Argo,BenAffleck,"BenAffleck, BryanCranston, JohnGoodman, AlanArkin",7.7,"Biography,Drama,Thriller",120min,A,25/10/1968,FALSE,"238,085"
"Monsters, Inc.","PeteDocter,","LeeUnkrich, , BillyCrystal, JohnGoodman, MaryGibbs, SteveBuscemi",8.1,"Animation,Adventure,Comedy",92min,U,23/02/1999,FALSE,"144,367"
Sin City,"FrankMiller,","RobertRodriguez, , MickeyRourke, CliveOwen, BruceWillis, JessicaAlba",8,"Crime,Thriller",124min,A,04/03/1968,FALSE,"209,216"
Shrek,"AndrewAdamson,",", MikeMyers, EddieMurphy, CameronDiaz, JohnLithgow",7.9,"Animation,Adventure,Comedy",90min,U,13/12/1967,TRUE,"199,581"
Inside Out,"PeteDocter,",", AmyPoehler, BillHader, LewisBlack, MindyKaling",8.2,"Animation,Adventure,Comedy",95min,U,03/07/1929,TRUE,"112,921"
V for Vendetta,JamesMcTeigue,"HugoWeaving, NataliePortman, RupertGraves, StephenRea",8.2,"Action,Drama,Sci-Fi",132min,UA,21/02/1910,FALSE,"160,237"
Little Miss Sunshine,"JonathanDayton,",", SteveCarell, ToniCollette, GregKinnear, AbigailBreslin",7.8,"Comedy,Drama",101min,UA,22/07/1968,FALSE,"195,927"
Home Alone,ChrisColumbus,"MacaulayCulkin, JoePesci, DanielStern, JohnHeard",7.7,"Comedy,Family",103min,U,26/11/1918,TRUE,"21,472"
12 Years a Slave,SteveMcQueen,"ChiwetelEjiofor, MichaelKennethWilliams, MichaelFassbender, BradPitt",8.1,"Biography,Drama,History",134min,A,03/03/1909,FALSE,"276,178"
Kick-Ass,MatthewVaughn,"AaronTaylor-Johnson, NicolasCage, ChloëGraceMoretz, GarrettM.Brown",7.6,"Action,Comedy,Crime",117min,UA,22/01/2013,FALSE,"29,266"
Pans Labyrinth,GuillermodelToro,"IvanaBaquero, AriadnaGil, SergiLópez, MaribelVerdú",8.2,"Drama,Fantasy,War",118min,UA,17/10/1976,TRUE,"34,491"
Blazing Saddles,MelBrooks,"CleavonLittle, GeneWilder, SlimPickens, HarveyKorman",7.7,"Comedy,Western",93min,A,23/06/2014,FALSE,"258,6"
Zodiac,DavidFincher,"JakeGyllenhaal, RobertDowneyJr., MarkRuffalo, AnthonyEdwards",7.7,"Crime,Drama,Mystery",157min,UA,05/06/1901,TRUE,"131,26"
Hell or High Water,DavidMackenzie,"ChrisPine, BenFoster, JeffBridges, GilBirmingham",7.6,"Action,Crime,Drama",102min,R,07/08/2015,FALSE,"147,309"
Coco,"LeeUnkrich,",", AnthonyGonzalez, GaelGarcíaBernal, BenjaminBratt, AlannaUbach",8.4,"Animation,Adventure,Comedy",105min,U,13/03/1948,FALSE,"107,858"
Druk,ThomasVinterberg,"MadsMikkelsen, ThomasBoLarsen, MagnusMillang, LarsRanthe",7.7,"Comedy,Drama",117min,UA,23/11/1956,TRUE,"215,756"
Marriage Story,NoahBaumbach,"AdamDriver, ScarlettJohansson, JuliaGreer, AzhyRobertson",7.9,"Drama,Romance",137min,U,19/09/1976,FALSE,"77,804"
First Blood,TedKotcheff,"SylvesterStallone, BrianDennehy, RichardCrenna, BillMcKinney",7.7,"Action,Adventure,Thriller",93min,A,12/03/1990,FALSE,"167,01"
Kimi no na wa.,MakotoShinkai,"RyûnosukeKamiki, MoneKamishiraishi, RyôNarita, AoiYûki",8.4,"Animation,Drama,Fantasy",106min,U,15/11/1996,FALSE,"36,567"
Training Day,AntoineFuqua,"DenzelWashington, EthanHawke, ScottGlenn, TomBerenger",7.7,"Action,Crime,Drama",122min,A,16/07/1967,TRUE,"157,202"
Rocky,JohnG.Avildsen,"SylvesterStallone, TaliaShire, BurtYoung, CarlWeathers",8.1,"Drama,Sport",120min,U,13/02/2014,FALSE,"83,335"
Big Fish,TimBurton,"EwanMcGregor, AlbertFinney, BillyCrudup, JessicaLange",8,"Adventure,Drama,Fantasy",125min,U,14/10/1900,TRUE,"21,042"
Hot Fuzz,EdgarWright,"SimonPegg, NickFrost, MartinFreeman, BillNighy",7.8,"Action,Comedy,Mystery",121min,UA,09/09/1921,FALSE,"92,671"
L.A. Confidential,CurtisHanson,"KevinSpacey, RussellCrowe, GuyPearce, KimBasinger",8.2,"Crime,Drama,Mystery",138min,A,10/10/1925,TRUE,"187,798"
Silver Linings Playbook,DavidO.Russell,"BradleyCooper, JenniferLawrence, RobertDeNiro, JackiWeaver",7.7,"Comedy,Drama,Romance",122min,A,11/10/1998,FALSE,"265,452"
Unforgiven,ClintEastwood,"ClintEastwood, GeneHackman, MorganFreeman, RichardHarris",8.2,"Drama,Western",130min,A,27/04/1968,FALSE,"76,543"
Twelve Monkeys,TerryGilliam,"BruceWillis, MadeleineStowe, BradPitt, JosephMelito",8,"Mystery,Sci-Fi,Thriller",129min,A,14/09/1901,TRUE,"2,276"
Toy Story 2,"JohnLasseter,","LeeUnkrich, , TomHanks, TimAllen, JoanCusack, KelseyGrammer",7.9,"Animation,Adventure,Comedy",92min,U,30/04/2013,TRUE,"80,331"
(500) Days of Summer,MarcWebb,"ZooeyDeschanel, JosephGordon-Levitt, GeoffreyArend, ChloëGraceMoretz",7.7,"Comedy,Drama,Romance",95min,UA,12/05/2000,FALSE,"83,066"
Dallas Buyers Club,Jean-MarcVallée,"MatthewMcConaughey, JenniferGarner, JaredLeto, SteveZahn",7.9,"Biography,Drama",117min,R,17/12/1924,FALSE,"214,895"
Rio Bravo,HowardHawks,"JohnWayne, DeanMartin, RickyNelson, AngieDickinson",8,Western,141min,NA,06/06/1949,TRUE,"198,792"
Moonrise Kingdom,WesAnderson,"JaredGilman, KaraHayward, BruceWillis, BillMurray",7.8,"Comedy,Drama,Romance",94min,A,31/05/1944,FALSE,"78,221"
Lethal Weapon,RichardDonner,"MelGibson, DannyGlover, GaryBusey, MitchellRyan",7.6,"Action,Crime,Thriller",109min,A,14/08/1981,TRUE,"290,549"
Up,"PeteDocter,",", EdwardAsner, JordanNagai, JohnRatzenberger, ChristopherPlummer",8.3,"Animation,Adventure,Comedy",96min,U,26/04/1954,TRUE,"19,504"
The Others,AlejandroAmenábar,"NicoleKidman, ChristopherEccleston, FionnulaFlanagan, AlakinaMann",7.6,"Horror,Mystery,Thriller",101min,R,11/03/1933,FALSE,"256,859"
"Three Billboards Outside Ebbing, Missouri",MartinMcDonagh,"FrancesMcDormand, WoodyHarrelson, SamRockwell, CalebLandryJones",8.1,"Comedy,Crime,Drama",115min,A,09/08/1939,FALSE,"103,532"
Soul,"PeteDocter,",", JamieFoxx, TinaFey, GrahamNorton, RachelHouse",8,"Animation,Adventure,Comedy",100min,U,29/07/1904,TRUE,"12,822"
Shaun of the Dead,EdgarWright,"SimonPegg, NickFrost, KateAshfield, LucyDavis",7.9,"Comedy,Horror",99min,UA,10/02/1925,TRUE,"170,426"
Salinui chueok,BongJoonHo,"SongKang-ho, KimSang-kyung, Roe-haKim, Jae-hoSong",8.1,"Crime,Drama,Mystery",131min,UA,05/08/1978,TRUE,"267,259"
Le fabuleux destin dAmélie Poulain,Jean-PierreJeunet,"AudreyTautou, MathieuKassovitz, Rufus, LorellaCravotta",8.3,"Comedy,Romance",122min,U,14/10/2010,FALSE,"84,369"
Amadeus,MilosForman,"F.MurrayAbraham, TomHulce, ElizabethBerridge, RoyDotrice",8.4,"Biography,Drama,Music",160min,R,14/09/1975,FALSE,"292,74"
Dances with Wolves,KevinCostner,"KevinCostner, MaryMcDonnell, GrahamGreene, RodneyA.Grant",8,"Adventure,Drama,Western",181min,U,21/06/1942,FALSE,"17,369"
Warrior,"""GavinOConnor""","TomHardy, NickNolte, JoelEdgerton, JenniferMorrison",8.2,"Action,Drama,Sport",140min,UA,14/02/2015,TRUE,"175,296"
Captain America: The Winter Soldier,"AnthonyRusso,",", ChrisEvans, SamuelL.Jackson, ScarlettJohansson, RobertRedford",7.8,"Action,Adventure,Sci-Fi",136min,UA,08/10/2018,FALSE,"34,306"
Casablanca,MichaelCurtiz,"HumphreyBogart, IngridBergman, PaulHenreid, ClaudeRains",8.5,"Drama,Romance,War",102min,U,16/08/2000,FALSE,"158,099"
